repo	path_within_checkout	classifier_narrow	classifier_broad
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-08-formal-source-gap.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-08-native-linking-gap.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-13-refusal-locus-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-14-forward-effect-capture-admission-task042-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-14-initialized-capture-evaluation-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-14-initialized-capture-evaluation-task041-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-15-complete-v1-adoption-gaps.md	ran	ran
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-15-distinct-v1-role-authorities-gap.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-15-plan-011-v2-evidence-gap-analysis.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-15-published-v1-handoff-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/2026-09-15-v3-activation-mapping-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-07-rust-audit-gap-analysis.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-08-native-readiness-gap-analysis.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-config-version-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-extracted-run-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-integer-projection-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-lc04-poc-delivery-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-mapped-native-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-checking-plan-gap.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-compiler-export-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-execution-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-model-source-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-package-plan-gap.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-package-run-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-projection-export-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-runtime-intake-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-runtime-plan-gap.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-native-standalone-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-quire-consumer-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-runtime-input-schema-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-runtime-owned-wire-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-sequence-admission-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-09-state-scalar-delivery-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-10-composed-binding-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-10-composed-proofs-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-10-composed-types-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-10-protocol-artifact-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-10-rational-model-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-composed-admission-stages-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-domain-event-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-mixed-observation-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-compensation-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-ecosystem-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-emission-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-handoff-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-populations-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-native-query-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-owned-attempt-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-received-boolean-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-received-choice-handoff-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-11-recovery-provenance-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-12-l2-cross-family-identity-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-12-lc04-backend-parity-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-13-checked-native-handoffs-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-13-configversion-backends-gaps.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-13-v0-2-release-gap-analysis.md	skipped	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-14-native-temporal-owner-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-14-temporal-activation-guard-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-14-v2-state-evaluation-gaps.md	not-stated	skipped
.worktrees-scratch	qsl-164-rebase/reviews/26-09-15-complete-source-packages-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/reviews/26-09-17-model-graph-binding-gaps.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/spec/reviews/arch-g1-change-scenarios/gate.md	not-stated	not-stated
.worktrees-scratch	qsl-164-rebase/spec/reviews/published-v2-handoff-addresses/gap-analysis.md	not-stated	not-stated
agent-skills	reviews/2026-08-31-plan-001-gap-analysis.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/2026-08-22-benchmark-gap-analysis.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/2026-08-27-advisory-corpus-follow-up.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/2026-08-27-advisory-product-follow-up.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-06-26-gap-analysis-pr21.md	skipped	skipped
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-07-30-org-resolution-gap-analysis.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-08-spec-correctness-gap-analysis.md	skipped	skipped
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-18-waves-cd-gap-analysis.md	skipped	skipped
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-19-waves-de-gap-analysis.md	skipped	skipped
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-21-gap-analysis-v0.41.0-contract.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-21-wp4-gap-analysis.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-23-answer-key-readjudication.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-23-seeded-families-gap-analysis.md	not-stated	not-stated
assurance-local-evidence	quoin-v02-cleanroom-pilot-repo/reviews/26-08-23-tier1-runner-gap-analysis.md	not-stated	not-stated
auth-fastapi	reviews/2026-06-29-gap-analysis-enterprise-audit.md	not-stated	not-stated
auth-service	reviews/2026-06-29-gap-analysis-enterprise-audit.md	not-stated	not-stated
auth-service	spec/analysis/security-issue-21.md	not-stated	not-stated
auth-service	spec/analysis/security.md	not-stated	not-stated
auth-service	spec/reviews/security-issue-21.md	not-stated	not-stated
cli-agent-evals-agent-c-6	reviews/2026-06-27-gap-analysis.md	skipped	skipped
ecaz	spec/reviews/gap-analysis-distann-retype.md	not-stated	not-stated
engineering-assurance	reviews/26-08-30-assurance-onboarding-gap-analysis.md	skipped	skipped
engineering-assurance	reviews/26-08-31-assurance-onboarding-gap-analysis.md	not-stated	not-stated
engineering-assurance	reviews/26-08-31-verification-semantics-gap-analysis.md	not-stated	not-stated
engineering-assurance	reviews/26-09-01-compatibility-corpus-gap-analysis.md	ran	ran
engineering-assurance	reviews/26-09-01-compatibility-matrix-gap-analysis.md	ran	ran
engineering-assurance	reviews/26-09-01-matrix-acceptance-gap-analysis.md	ran	ran
engineering-assurance	reviews/26-09-01-migration-contract-gap-analysis.md	ran	ran
engineering-assurance	reviews/26-09-01-verification-semantics-implementation-gap-analysis.md	not-stated	not-stated
engineering-assurance	reviews/26-09-11-verification-semantics-removal-gap-analysis.md	not-stated	not-stated
filament-core-data	reviews/2026-08-29-plan-001-semantic-data-architecture-gap-analysis.md	ran	ran
filament-core-data	reviews/2026-08-29-plan-002-filament-contract-census-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-08-29-plan-003-typespec-feasibility-gap-analysis.md	not-stated	skipped
filament-core-data	reviews/2026-08-30-plan-004-semantic-package-contract-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-03-plan-005-semantic-ir-v1-1-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-03-plan-006-semantic-core-grammar-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-03-plan-007-promote-prototype-emitters-gap-analysis.md	not-stated	ran
filament-core-data	reviews/2026-09-04-plan-008-compiler-core-gap-analysis.md	not-stated	not-stated
filament-core-data	reviews/2026-09-04-plan-009-conformance-corpus-gap-analysis.md	not-stated	not-stated
filament-core-data	reviews/2026-09-04-plan-010-rust-serde-backend-gap-analysis.md	not-stated	not-stated
filament-core-data	reviews/2026-09-04-python-backend-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-04-typescript-backend-gap-analysis.md	not-stated	not-stated
filament-core-data	reviews/2026-09-09-36-extraction-frontend-gap-analysis.md	ran	ran
filament-core-data	reviews/2026-09-09-plan-015-shared-identity-rule-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-14-plan-017-producer-interface-gap-analysis.md	skipped	skipped
filament-core-data	reviews/2026-09-14-plan-017-producer-interface-gap-rereview.md	skipped	skipped
filament-core-service	reviews/2026-06-27-plan-001-hybrid-search.md	skipped	skipped
filament-core-service	reviews/2026-06-27-plan-002-fastmcp-agent-api.md	skipped	skipped
filament-core-service	reviews/2026-06-27-plan-002-fastmcp-write.md	skipped	skipped
filament-core-service	reviews/2026-06-27-plan-003-hocuspocus-persistence.md	skipped	skipped
filament-editor-app	reviews/2026-06-27-plan-001-cloud-hocuspocus-collab.md	skipped	skipped
filament-ide-rs	reviews/2026-07-03-plan-005-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-05-plan-001-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-05-plan-003-embedding-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-05-plan-003-task-026-029-gap-analysis.md	skipped	skipped
